,Trust_Score,Kms_Driven,Year,RegState_Codes,Brand_Codes,Fuel_Codes,Trans_Codes,Model_Name,Price
0,7.2,23652,2016,0,16,2,1,Celerio,12.998291105900314
1,6.5,54744,2016,0,16,2,1,Alto,12.738017676316092
2,6.7,33625,2017,0,23,2,1,KWID,12.76456208508764
3,6.6,37844,2016,0,16,2,1,Wagon,12.956896577792007
4,7.1,25479,2015,0,16,2,1,Alto,12.514979128183281
5,6.7,35241,2017,0,16,2,1,Celerio,13.117027165114697
6,6.9,41256,2016,0,16,2,1,Celerio,12.921932430977858
7,6.8,25415,2016,0,16,2,1,Celerio,13.021640977925959
8,7.0,41256,2014,0,16,2,1,Alto,12.388519194512279
9,6.5,41236,2017,0,16,2,1,Wagon,13.050373161221609
10,5.8,6265,2016,0,16,2,1,Celerio,13.287877815881902
11,7.0,31820,2017,0,16,2,1,Celerio,13.104541507113135
12,6.0,9757,2015,0,16,2,1,Celerio,12.971540487669746
13,6.7,48858,2017,0,16,2,1,Wagon,13.11737897588836
14,6.6,41002,2015,0,16,2,1,Alto,12.579647970102888
15,7.2,23645,2017,0,16,2,1,Celerio,13.072700332385228
16,6.5,21421,2018,0,16,2,1,Swift,13.427707552569144
17,6.6,23652,2018,0,16,0,1,Vitara,13.725526767728137
18,6.5,15338,2015,0,16,2,1,Celerio,12.926348493478372
19,7.1,33255,2015,0,16,2,1,Alto,12.540664543994545
20,7.0,23125,2014,0,16,2,1,Celerio,12.857676217102094
21,6.5,3656,2016,0,16,2,1,Celerio,13.163505320735505
22,6.5,9757,2015,0,16,2,1,Celerio,13.056223574899784
23,7.2,36525,2014,0,16,2,1,Celerio,12.772326353645779
24,6.9,27485,2018,0,16,0,1,Vitara,13.833499777323832
25,7.7,52935,2016,0,16,2,1,Wagon,12.906252538494298
26,6.7,39696,2016,0,16,2,1,Alto,12.701405879565616
27,7.6,48389,2016,0,16,2,1,Celerio,12.800404510468296
28,6.9,12584,2018,0,16,2,1,Swift,13.400258715620286
29,6.9,22114,2016,0,16,2,1,Celerio,12.879392048477673
30,7.0,37845,2016,0,16,2,1,Alto,12.72588080525422
31,6.6,38565,2016,0,16,2,1,Celerio,12.941555873853085
